FRENCH,English
Bonjour,Hello
Bonsoir,Evening
Salut,Hi
Merci,Thanks
Pardon,Sorry
Oui,Yes
Non,No
Pourquoi,Why
Comment,How
Quand,When
Où,Where
Qui,Who
Quoi,What
Homme,Man
Femme,Woman
Ami,Friend
Famille,Family
Enfant,Child
Père,Father
Mère,Mother
Frère,Brother
Sœur,Sister
Mari,Husband
Épouse,Wife
Maison,House
Travail,Work
École,School
Bureau,Office
Magasin,Store
Ville,City
Pays,Country
Temps,Time
Jour,Day
Nuit,Night
Eau,Water
Pain,Bread
Lait,Milk
Café,Coffee
Thé,Tea
Repas,Meal
Restaurant,Restaurant
Être,Be
Avoir,Have
Faire,Make
Aller,Go
Dire,Say
Voir,See
Savoir,Know
Vouloir,Want
Pouvoir,Can
Devoir,Must
Prendre,Take
Donner,Give
Parler,Speak
Aimer,Love
Manger,Eat
Boire,Drink
Venir,Come
Bon,Good
Mauvais,Bad
Grand,Big
Petit,Small
Nouveau,New
Vieux,Old
Jeune,Young
Beau,Beautiful
Chaud,Hot
Froid,Cold
Heure,Hour
Minute,Minute
Seconde,Second
Matin,Morning
Soir,Evening
Aujourd’hui,Today
Demain,Tomorrow
Hier,Yesterday
Toujours,Always
Jamais,Never
Souvent,Often
Rarement,Rarely
Maintenant,Now
Ici,Here
Là,There
Avec,With
Sans,Without
Pour,For
Contre,Against
Avant,Before
Après,After
Sous,Under
Sur,Above
Entre,Between
Beaucoup,Much
Peu,Little
Tout,All
Rien,Nothing
Quel,Which
Même,Same
Autre,Other
Jamais,
